Layer,Name,Area,Length,Contents,Count,Block Unit,Color,Linetype,Closed,Area_m2
MB-ELEV 4,Line,,0.0868,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4814,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.9284,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.2971,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.2733,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.1536,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.8095,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.0693,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.0056,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.7158,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.3994,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,4.4592,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.0480,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.8329,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.0029,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,7.5307,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.2954,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.1036,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.7783,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.6021,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.6219,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.0749,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.9031,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3930,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.4444,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4448,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.9436,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.9896,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,10.3261,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,5.6648,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.1851,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.7026,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,4.0012,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.0573,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.5130,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.1318,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4198,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.7611,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.0598,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.7050,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.2044,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.8153,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.5979,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.7924,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.0863,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.9726,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.4653,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.5741,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.1231,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,6.2015,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.5317,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,4.2248,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.8594,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.9955,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.0385,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,5.1132,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.0161,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.0960,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.0615,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4798,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.9090,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,4.6040,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.0715,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.9476,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.9442,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,5.9481,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.8024,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.6433,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,6.0041,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.9829,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.7927,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.9478,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.1256,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.6315,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4477,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.2729,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.5542,,1,,ByLayer,ByLayer,,
